Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
965360,I Can Gun,Koenigz,Koenigz,TBA,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;standing,;Action;Indie;Early Access,;English
595090,Prevent The Fall,D.W.S,D.W.S.,"31 Jul, 2017",¥ 980,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,;Action;Adventure;Indie;RPG,;English
1384520,WOODS Part I,BadJulie,BadJulie,TBA,,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Adventure;Casual;Indie,;English
357670,Home Improvisation: Furniture Sandbox,The Stork Burnt Down,The Stork Burnt Down,"28 Jul, 2016",¥ 980,,;valveindex;htc;oculus,;vr_input_motion;controller,;seated;standing;roomscale,;Casual;Indie;Simulation,;English;Swedish
1512200,PYTHIAN,VRROOM,PYTHIAN BV,"15 Mar, 2021","¥ 1,840",,;valveindex;htc;oculus;windowsmr,;vr_input_motion;vr_input_kbm,;seated;standing;roomscale,;Action;Casual;Massively Multiplayer;Simulation;Early Access,;English
1795750,Conquest,Endless Endeavor LLC,Endless Endeavor LLC,"18 Nov, 2021","¥ 1,420",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie;RPG;Strategy;Early Access,;English
745090,ROMBIE,Phr00t's Software,Phr00t's Software,"23 Mar, 2018",¥ 930,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;standing;roomscale,;Action;Indie;RPG,;English
924770,Colory Engine,fabian@ColoryVR,LUCID LAYERS,"24 Oct, 2020",Free,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;Simulation;Animation & Modeling;Audio Production;Design & Illustration;Video Production,;English;German
1957780,Ghosts of Tabor,Combat Waffle Studios,Combat Waffle Studios,Mar 2023,,,;valveindex;htc;oculus,;vr_input_motion,;standing,;Action;Early Access,;English
405340,Siegecraft Commander,Blowfish Studios,Blowfish Studios,"16 Jan, 2017","¥ 1,980",,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Action;Strategy,;English
403270,Cloudrift,friendlyOctopus,friendlyOctopus,"30 Oct, 2015",¥ 980,,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated;standing;roomscale,;Action;Casual;Indie,;English;Spanish - Spain;French;Italian;German;Portuguese - Brazil;Russian
450050,Yon Paradox,Digital Mantis,IV Productions,"6 May, 2016",¥ 298,,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Casual;Indie,;English
373650,The Assembly,nDreams,nDreams,"19 Jul, 2016",,,;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,;Adventure;Indie,;English;French;German
679260,Bus Driver Simulator,KishMish Games,KishMish Games,"4 Dec, 2019","¥ 1,998",,;valveindex;htc;oculus,;controller;vr_input_kbm,;seated,;Indie;Racing;Simulation,;English;German;Russian;Portuguese - Brazil;French;Korean;Spanish - Spain;Czech;Italian;Turkish;Simplified Chinese;Romanian;Polish;Hungarian;Ukrainian;Japanese
1445010,Rocket Explorer,Stanley Creative,Stanley Creative,"21 Aug, 2021","¥ 1,320",,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,;Casual;Indie;Simulation;Early Access,;English
606350,Puttyface,the3dCrew,the3dCrew,"10 Mar, 2017",,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Free to Play;Indie;Simulation;Early Access,;English
551610,Virtual Army: Revolution,Haptic Pulse,Haptic Pulse,"31 Jan, 2019","¥ 1,640",,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Indie;Early Access,;English
1753400,Visite virtuelle de l'Assemblée nationale,Assemblée nationale,Assemblée nationale,"16 Sep, 2021",Free To Play,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,;Adventure;Free to Play;Early Access,;English;French
569890,me Igigu,ItsAllAGame,ItsAllAGame,TBC,,,;valveindex;htc,;vr_input_motion,;seated;standing;roomscale,;Action;Casual;Indie;Simulation,;English
540500,Starfighter Arduxim,Fulby Technologies,Fulby Technologies,"19 Oct, 2016",¥ 410,,;valveindex;htc;oculus;windowsmr,;vr_input_motion;controller,;seated,;Action;Indie;Simulation,;English
1119430,The Backrooms Simulator,Pixel Plant LLC,Pixel Plant LLC,"23 Jul, 2019",¥ 205,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Indie;Simulation,;English
1373810,Orlando Theme Park VR - Roller Coaster and Rides,Thetis Games and Simulators,Thetis Games and Simulators,"21 Aug, 2020",Free,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing,;Action;Free to Play;Simulation,;English
1403520,Forest Farm,Nic Schubert,Tonic Games Australia,"3 Nov, 2021","¥ 1,010",,;oculus,;vr_input_motion,;seated;standing;roomscale,;Casual;Indie;RPG;Simulation,;English
1224480,Fire Escape,iNK Stories,iNK Stories,"29 Apr, 2020","¥ 1,010",,;valveindex;htc;oculus,;vr_input_motion,;seated;standing,;Adventure;Casual;Indie,;English
1906470,Shattered Between,Cloven Crest,Cloven Crest,"Summer, 2022. Add to wishlist!",,,;valveindex;htc;oculus,;vr_input_motion,;seated;standing;roomscale,;Action;Adventure;Indie,;English;Russian
1627060,Karting4Fun,Render System,Render System,Q3 2022,,,;oculus,;vr_input_motion;controller;vr_input_kbm,;seated,;Casual;Indie;Racing;Sports;Early Access,;English;French;German;Czech;Russian
